"titleBasicsId";"titleType";"primaryTitle";"originalTitle";"isAdult";"startYear";"endYear";"runTimeMinutes";"genres"
18874;"movie";"Fangs of the Wild";"Fangs of the Wild";0;"1928";"";0;""
18875;"movie";"The Farmer's Daughter";"The Farmer's Daughter";0;"1928";"";60;""
18876;"movie";"The Farmer's Wife";"The Farmer's Wife";0;"1928";"";100;""
18877;"short";"Farmyard Follies";"Farmyard Follies";0;"1928";"";6;""
18878;"movie";"Fashion Madness";"Fashion Madness";0;"1928";"";57;""
18879;"movie";"Fazil";"Fazil";0;"1928";"";88;""
18880;"movie";"The Fearless Rider";"The Fearless Rider";0;"1928";"";51;""
18881;"short";"Feed 'em and Weep";"Feed 'em and Weep";0;"1928";"";20;""
18882;"movie";"Feel My Pulse";"Feel My Pulse";0;"1928";"";63;""
18883;"movie";"Uma Ferra de Gado em Muge";"Uma Ferra de Gado em Muge";0;"1928";"";0;""
18884;"movie";"The Bold Dragoon";"Der fesche Husar";0;"1928";"";0;""
18885;"short";"Fiery Fireman";"Fiery Fireman";0;"1928";"";0;""
18886;"movie";"Fiesta de la Victoria en Jaca";"Fiesta de la Victoria en Jaca";0;"1928";"";0;""
18887;"movie";"The Fifty-Fifty Girl";"The Fifty-Fifty Girl";0;"1928";"";70;""
18888;"movie";"Filmens helte";"Filmens helte";0;"1928";"";119;""
18889;"movie";"Finders Keepers";"Finders Keepers";0;"1928";"";60;""
18890;"short";"The Finishing Touch";"The Finishing Touch";0;"1928";"";19;""
18891;"movie";"The First Born";"The First Born";0;"1928";"";111;""
18892;"movie";"The First Kiss";"The First Kiss";0;"1928";"";60;""
18893;"movie";"The Five O'Clock Girl";"The Five O'Clock Girl";0;"1928";"";0;""
18894;"movie";"Five and Ten Cent Annie";"Five and Ten Cent Annie";0;"1928";"";60;""
18895;"movie";"Flamenca la gitane";"Flamenca la gitane";0;"1928";"";0;""
18896;"movie";"The Fleet's In";"The Fleet's In";0;"1928";"";75;""
18897;"movie";"Fleetwing";"Fleetwing";0;"1928";"";50;""
18898;"movie";"The Floating College";"The Floating College";0;"1928";"";0;""
18899;"movie";"Escape from Hell";"Flucht aus der Hölle";0;"1928";"";0;""
18900;"movie";"Flyin' Buckaroo";"Flyin' Buckaroo";0;"1928";"";0;""
18901;"movie";"The Flyin' Cowboy";"The Flyin' Cowboy";0;"1928";"";60;""
18902;"movie";"Flying Romeos";"Flying Romeos";0;"1928";"";70;""
18903;"movie";"Fools for Luck";"Fools for Luck";0;"1928";"";60;""
18904;"movie";"Forbidden Hours";"Forbidden Hours";0;"1928";"";60;""
18905;"movie";"The Foreign Legion";"The Foreign Legion";0;"1928";"";80;""
18906;"movie";"Forgotten Faces";"Forgotten Faces";0;"1928";"";80;""
18907;"movie";"4 Devils";"4 Devils";0;"1928";"";100;""
18908;"movie";"The Four Feathers";"The Four Feathers";0;"1929";"";81;""
18909;"movie";"Four Sons";"Four Sons";0;"1928";"";100;""
18910;"movie";"Four Walls";"Four Walls";0;"1928";"";60;""
18911;"movie";"The Four-Footed Ranger";"The Four-Footed Ranger";0;"1928";"";50;""
18912;"movie";"The Fourflusher";"The Fourflusher";0;"1928";"";60;""
18913;"short";"The Fox Chase";"The Fox Chase";0;"1928";"";5;""
18914;"movie";"Frauenarzt Dr. Schäfer";"Frauenarzt Dr. Schäfer";0;"1928";"";0;""
18915;"movie";"Freckles";"Freckles";0;"1928";"";0;""
18916;"movie";"Free Lips";"Free Lips";0;"1928";"";0;""
18917;"movie";"Freedom of the Press";"Freedom of the Press";0;"1928";"";0;""
18918;"movie";"Freiwild";"Freiwild";0;"1928";"";0;""
18920;"short";"Futuritzy";"Futuritzy";0;"1928";"";0;""
18921;"movie";"Fátima Milagrosa";"Fátima Milagrosa";0;"1928";"";159;""
18922;"movie";"Fünf bange Tage";"Fünf bange Tage";0;"1928";"";0;""
18923;"movie";"Gaito no kishi";"Gaito no kishi";0;"1928";"";0;""
18925;"short";"The Gallopin' Gaucho";"The Gallopin' Gaucho";0;"1928";"";6;""
18926;"movie";"Gang War";"Gang War";0;"1928";"";70;""
18927;"movie";"The Garden of Eden";"The Garden of Eden";0;"1928";"";79;""
18928;"movie";"The Gate Crasher";"The Gate Crasher";0;"1928";"";0;""
18929;"movie";"The Gateway of the Moon";"The Gateway of the Moon";0;"1928";"";60;""
18930;"movie";"The Secret Courier";"Der geheime Kurier";0;"1928";"";0;""
18931;"movie";"Gentlemen Prefer Blondes";"Gentlemen Prefer Blondes";0;"1928";"";75;""
18932;"movie";"A Gentleman Preferred";"A Gentleman Preferred";0;"1928";"";0;""
18933;"movie";"George Washington Cohen";"George Washington Cohen";0;"1928";"";0;""
18934;"movie";"G'schichten aus dem Wienerwald";"G'schichten aus dem Wienerwald";0;"1928";"";0;""
18935;"movie";"Sex in Chains";"Geschlecht in Fesseln";0;"1928";"";107;""
18936;"short";"The Girl from Nowhere";"The Girl from Nowhere";0;"1928";"";0;""
18937;"movie";"A Girl in Every Port";"A Girl in Every Port";0;"1928";"";78;""
18938;"movie";"Das Girl von der Revue";"Das Girl von der Revue";0;"1928";"";0;""
18939;"movie";"The Girl-Shy Cowboy";"The Girl-Shy Cowboy";0;"1928";"";0;""
18940;"movie";"Giuditta e Oloferne";"Giuditta e Oloferne";0;"1929";"";0;""
18941;"movie";"Give and Take";"Give and Take";0;"1928";"";70;""
18942;"movie";"Motele the Weaver";"Glaza, kotorye videli";0;"1929";"";0;""
18943;"movie";"Gloria";"Gloria";0;"1928";"";0;""
18944;"short";"Glorious Adventure";"Glorious Adventure";0;"1928";"";0;""
18945;"movie";"Glorious Betsy";"Glorious Betsy";0;"1928";"";80;""
18946;"movie";"The Glorious Trail";"The Glorious Trail";0;"1928";"";65;""
18947;"short";"Going Places";"Going Places";0;"1929";"";0;""
18948;"movie";"Golden Shackles";"Golden Shackles";0;"1928";"";0;""
18949;"movie";"Golf Widows";"Golf Widows";0;"1928";"";56;""
18950;"movie";"Good Morning, Judge";"Good Morning, Judge";0;"1928";"";60;""
18951;"movie";"The Good-Bye Kiss";"The Good-Bye Kiss";0;"1928";"";90;""
18952;"movie";"Goya que vuelve";"Goya que vuelve";0;"1928";"";0;""
18953;"movie";"The Grain of Dust";"The Grain of Dust";0;"1928";"";0;""
18954;"movie";"O Grande Colégio Almeida Garrett no Bussaco";"O Grande Colégio Almeida Garrett no Bussaco";0;"1928";"";0;""
18955;"movie";"La grande passion";"La grande passion";0;"1928";"";80;""
18956;"movie";"The Soul of France";"La grande épreuve";0;"1928";"";0;""
18957;"movie";"Greased Lightning";"Greased Lightning";0;"1928";"";47;""
18958;"short";"The Great Arctic Seal Hunt";"The Great Arctic Seal Hunt";0;"1928";"";39;""
18959;"movie";"Green Grass Widows";"Green Grass Widows";0;"1928";"";0;""
18960;"movie";"The Grip of the Yukon";"The Grip of the Yukon";0;"1928";"";65;""
18961;"movie";"The Amateur Adventure";"Die große Abenteuerin";0;"1928";"";0;""
